Player,Comp,Nation,Age,Pos,Squad,Gls_90,Ast_90,xG_90,xAG_90
Khalil Fayad,fr Ligue 1,fr FRA,20.0,"MF,FW",Montpellier,0.0,0.0,0.11,0.02
Jacopo Fazzini,it Serie A,it ITA,21.0,MF,Empoli,0.26,0.07,0.2,0.03
Frank Feller,de Bundesliga,de GER,20.0,GK,Heidenheim,0.0,0.0,0.0,0.0
Evan Ferguson,eng Premier League,ie IRL,19.0,FW,West Ham,0.0,0.0,0.32,0.17
Evan Ferguson,eng Premier League,ie IRL,19.0,FW,Brighton,0.37,0.0,0.2,0.15
Mateus Fernandes,eng Premier League,pt POR,20.0,MF,Southampton,0.06,0.12,0.12,0.09
Pelayo Fernandez,es La Liga,es ESP,21.0,DF,Rayo Vallecano,0.0,0.0,0.0,0.0
Matias Fernandez-Pardo,fr Ligue 1,be BEL,19.0,"FW,MF",Lille,0.34,0.17,0.24,0.24
Daniel Fila,it Serie A,cz CZE,21.0,FW,Venezia,0.37,0.0,0.26,0.06
Mateo Flores,es La Liga,es ESP,20.0,MF,Betis,0.0,0.0,0.0,0.0
Malick Fofana,fr Ligue 1,be BEL,19.0,FW,Lyon,0.28,0.23,0.22,0.21
Rayan Fofana,fr Ligue 1,fr FRA,18.0,"FW,MF",Lens,0.0,0.0,0.0,0.0
Carlos Forbs,eng Premier League,pt POR,20.0,"MF,FW",Wolves,0.0,0.0,0.05,0.01
Omari Forson,it Serie A,eng ENG,20.0,"MF,FW",Monza,0.0,0.0,0.09,0.21
Héctor Fort,es La Liga,es ESP,17.0,DF,Barcelona,0.0,0.0,0.04,0.13
Fran,es La Liga,es ESP,19.0,GK,Real Madrid,0.0,0.0,0.0,0.0
Matheus França,eng Premier League,br BRA,20.0,"MF,FW",Crystal Palace,1.64,0.0,0.42,0.0
Alejandro Francés,es La Liga,es ESP,21.0,DF,Girona,0.0,0.0,0.02,0.03
Tyler Fredricson,eng Premier League,eng ENG,19.0,DF,Manchester Utd,0.0,0.0,0.0,0.0
Darío Fuentes,es La Liga,es ESP,21.0,DF,Sevilla,0.0,0.0,0.0,0.0
Shiō Fukuda,de Bundesliga,jp JPN,20.0,FW,Gladbach,1.5,0.0,0.65,0.0
Tommaso Gabellini,it Serie A,it ITA,17.0,FW,Torino,0.0,0.0,0.45,0.0
Tiago Gabriel,it Serie A,pt POR,19.0,DF,Lecce,0.0,0.0,0.0,0.0
Andrés García,eng Premier League,es ESP,21.0,"DF,MF",Aston Villa,0.0,0.0,0.01,0.05
Gonzalo García,es La Liga,es ESP,20.0,"FW,DF",Real Madrid,0.0,1.61,0.79,1.56
Pablo Garcia,es La Liga,es ESP,17.0,FW,Betis,0.0,0.0,0.0,0.0
Alejandro Garnacho,eng Premier League,ar ARG,20.0,"MF,FW",Manchester Utd,0.25,0.08,0.3,0.19
Yarek Gasiorowski,es La Liga,es ESP,19.0,DF,Valencia,0.0,0.0,0.11,0.01
Gavi,es La Liga,es ESP,19.0,"MF,FW",Barcelona,0.08,0.08,0.07,0.13
Viggo Gebel,de Bundesliga,de GER,16.0,MF,RB Leipzig,0.0,0.0,0.0,0.0
Tyrique George,eng Premier League,eng ENG,18.0,FW,Chelsea,0.49,0.49,0.1,0.36
Daniele Ghilardi,it Serie A,it ITA,21.0,DF,Hellas Verona,0.0,0.0,0.03,0.01
Gvidas Gineitis,it Serie A,lt LTU,20.0,MF,Torino,0.19,0.06,0.08,0.13
Jamie Gittens,de Bundesliga,eng ENG,19.0,"FW,MF",Dortmund,0.41,0.15,0.18,0.13
Martial Godo,eng Premier League,eng ENG,21.0,"FW,DF",Fulham,0.0,0.0,0.0,0.21
Saba Goglichidze,it Serie A,ge GEO,20.0,DF,Empoli,0.0,0.04,0.01,0.01
Michael Golding,eng Premier League,eng ENG,18.0,MF,Leicester City,0.0,0.0,0.0,0.0
Rodrigo Gomes,eng Premier League,pt POR,21.0,"DF,FW",Wolves,0.22,0.0,0.08,0.1
Carlos Gómez,fr Ligue 1,co COL,21.0,"MF,DF",Rennes,0.71,0.0,0.31,0.06
Diego Gómez,eng Premier League,py PAR,21.0,MF,Brighton,0.17,0.0,0.15,0.13
Unai Gómez,es La Liga,es ESP,21.0,"MF,FW",Athletic Club,0.07,0.21,0.13,0.06
Tidiam Gomis,de Bundesliga,fr FRA,17.0,"MF,FW",RB Leipzig,0.0,0.59,0.15,0.55
Lucas Gourna-Douath,it Serie A,fr FRA,20.0,MF,Roma,0.0,0.0,0.05,0.04
Archie Gray,eng Premier League,eng ENG,18.0,"DF,MF",Tottenham,0.0,0.0,0.0,0.01
Brajan Gruda,eng Premier League,de GER,20.0,"MF,FW",Brighton,0.13,0.52,0.16,0.28
Axel Gueguin,fr Ligue 1,fr FRA,19.0,FW,Montpellier,0.0,0.0,0.0,0.0
Javier Guerra,es La Liga,es ESP,21.0,MF,Valencia,0.1,0.1,0.08,0.11
Luis Guilherme,eng Premier League,br BRA,18.0,"MF,FW",West Ham,0.0,0.0,0.25,0.05
Carlos Guirao,es La Liga,es ESP,21.0,MF,Betis,0.0,0.0,0.0,0.0
Bahereba Guirassy,fr Ligue 1,fr FRA,17.0,"FW,MF",Nantes,0.52,0.0,0.18,0.02
Marc Guiu,eng Premier League,es ESP,18.0,FW,Chelsea,0.0,0.0,0.0,0.04
Arda Güler,es La Liga,tr TUR,19.0,"MF,FW",Real Madrid,0.22,0.29,0.24,0.32
Malo Gusto,eng Premier League,fr FRA,21.0,DF,Chelsea,0.0,0.05,0.08,0.07
Saad El Haddad,it Serie A,ma MAR,19.0,MF,Venezia,0.0,0.0,0.0,0.07
Mohamed Haj,it Serie A,tn TUN,19.0,MF,Parma,0.2,0.4,0.13,0.24
Lewis Hall,eng Premier League,eng ENG,19.0,DF,Newcastle Utd,0.0,0.16,0.02,0.18
Ayden Heaven,eng Premier League,eng ENG,17.0,DF,Manchester Utd,0.0,0.0,0.07,0.01
Paul Hennrich,de Bundesliga,de GER,19.0,MF,Hoffenheim,0.0,0.0,0.0,0.0
Juan Herzog,es La Liga,es ESP,21.0,DF,Las Palmas,0.0,0.0,0.06,0.0
Omar El Hilali,es La Liga,ma MAR,20.0,DF,Espanyol,0.0,0.06,0.0,0.02
Roger Hinojo,es La Liga,es ESP,19.0,DF,Espanyol,0.0,0.0,0.0,0.0
Jack Hinshelwood,eng Premier League,eng ENG,19.0,"MF,DF",Brighton,0.24,0.1,0.13,0.07
Ilyes Housni,fr Ligue 1,fr FRA,19.0,"FW,MF",Le Havre,0.0,0.0,0.09,0.08
Harry Howell,eng Premier League,eng ENG,15.0,FW,Brighton,0.0,0.0,0.0,0.0
Dean Huijsen,eng Premier League,es ESP,19.0,DF,Bournemouth,0.11,0.07,0.07,0.08
Omari Hutchinson,eng Premier League,eng ENG,20.0,"MF,FW",Ipswich Town,0.1,0.07,0.1,0.12
Oscar Højlund,de Bundesliga,dk DEN,19.0,MF,Eint Frankfurt,0.12,0.0,0.12,0.13
Rasmus Højlund,eng Premier League,dk DEN,21.0,FW,Manchester Utd,0.18,0.0,0.24,0.08
Hafiz Ibrahim,fr Ligue 1,ng NGA,18.0,FW,Reims,0.0,0.23,0.12,0.14
Arijon Ibrahimović,it Serie A,de GER,18.0,MF,Lazio,0.0,0.0,0.85,0.0
Arijon Ibrahimović,de Bundesliga,de GER,18.0,FW,Bayern Munich,0.0,0.0,0.0,0.0
Stanis Idumbo,es La Liga,be BEL,19.0,"FW,MF",Sevilla,0.32,0.32,0.2,0.23
George Ilenikhena,fr Ligue 1,ng NGA,17.0,FW,Monaco,0.38,0.25,0.64,0.18
Rareş Ilie,fr Ligue 1,ro ROU,21.0,MF,Nice,0.0,0.0,0.25,2.47
Samuel Iling-Junior,it Serie A,eng ENG,20.0,"FW,MF",Bologna,0.76,0.0,0.11,0.09
Tim Iroegbunam,eng Premier League,eng ENG,21.0,MF,Everton,0.0,0.16,0.04,0.03
Yanis Issoufou,fr Ligue 1,fr FRA,17.0,"MF,FW",Montpellier,0.0,0.0,0.07,0.0
Diego Iturralde,es La Liga,es ESP,21.0,FW,Sevilla,0.0,0.0,0.21,0.0
Fellipe Jack,it Serie A,br BRA,18.0,DF,Como,0.0,0.0,0.0,0.03
Jérémy Jacquet,fr Ligue 1,fr FRA,19.0,DF,Rennes,0.0,0.1,0.08,0.08
Jordan James,fr Ligue 1,wls WAL,20.0,MF,Rennes,0.0,0.08,0.07,0.15
Luca Jaquez,de Bundesliga,ch SUI,21.0,DF,Stuttgart,0.0,0.0,0.08,0.0
Ali Jasim,it Serie A,iq IRQ,20.0,"FW,DF",Como,0.0,0.0,0.0,0.0
Mikel Jauregizar,es La Liga,es ESP,20.0,MF,Athletic Club,0.08,0.04,0.04,0.06
Dominik Javorček,de Bundesliga,sk SVK,21.0,"DF,MF",Holstein Kiel,0.0,0.47,0.0,0.23
Daniel Jebbison,eng Premier League,eng ENG,20.0,FW,Bournemouth,0.76,0.0,0.75,0.15
Finn Jeltsch,de Bundesliga,de GER,18.0,DF,Stuttgart,0.0,0.0,0.01,0.01
Malcolm Jeng,fr Ligue 1,se SWE,19.0,DF,Reims,0.0,0.0,0.0,0.0
Alejandro Jiménez,it Serie A,es ESP,19.0,"DF,FW",Milan,0.0,0.07,0.06,0.09
Kim Jisoo,eng Premier League,kr KOR,19.0,DF,Brentford,0.0,0.0,0.0,0.0
John Joe,es La Liga,ie IRL,20.0,"MF,FW",Getafe,0.0,0.0,0.26,0.0
John Joe,fr Ligue 1,ie IRL,20.0,MF,Reims,0.0,0.0,0.03,0.0
Antoine Joujou,fr Ligue 1,fr FRA,21.0,"MF,FW",Le Havre,0.0,0.19,0.06,0.29
Yusuf Kabadayı,de Bundesliga,de GER,20.0,"FW,MF",Augsburg,1.27,0.0,0.82,0.06
Almugera Kabar,de Bundesliga,de GER,18.0,DF,Dortmund,0.0,0.0,0.0,0.36
Yaya Kader Fofana,fr Ligue 1,ml MLI,20.0,"MF,FW",Reims,0.14,0.14,0.09,0.24
Justin-Noël Kalumba,fr Ligue 1,fr FRA,19.0,"FW,MF",Angers,0.0,0.0,0.05,0.0
Noham Kamara,fr Ligue 1,fr FRA,17.0,DF,Paris S-G,0.0,0.0,0.0,0.0
Willy Kambwala,es La Liga,fr FRA,19.0,DF,Villarreal,0.0,0.0,0.03,0.01
Lior Kasa,it Serie A,il ISR,18.0,"MF,FW",Genoa,0.0,0.0,0.45,0.03
Joachim Kayi Sanda,eng Premier League,fr FRA,17.0,DF,Southampton,0.0,0.0,0.0,0.0
Michael Kayode,eng Premier League,it ITA,20.0,DF,Brentford,0.0,0.17,0.04,0.21
Michael Kayode,it Serie A,it ITA,20.0,"DF,FW",Fiorentina,0.0,0.0,0.07,0.13
Abdoulaye Keita,es La Liga,es ESP,21.0,"FW,MF",Getafe,0.0,0.0,0.05,0.0
Andu Kelati,de Bundesliga,de GER,21.0,"MF,DF",Holstein Kiel,0.31,0.31,0.27,0.26
Aljoscha Kemlein,de Bundesliga,de GER,19.0,MF,Union Berlin,0.1,0.0,0.09,0.06
Milos Kerkez,eng Premier League,hu HUN,20.0,DF,Bournemouth,0.05,0.13,0.02,0.1
Bilal El Khannouss,eng Premier League,ma MAR,20.0,"MF,FW",Leicester City,0.08,0.12,0.05,0.19
Abdukodir Khusanov,eng Premier League,uz UZB,20.0,DF,Manchester City,0.0,0.0,0.0,0.02
Abdukodir Khusanov,fr Ligue 1,uz UZB,20.0,DF,Lens,0.0,0.0,0.02,0.03
Joshua King,eng Premier League,eng ENG,17.0,MF,Fulham,0.0,0.0,0.22,0.3
Antonín Kinský,eng Premier League,cz CZE,21.0,GK,Tottenham,0.0,0.0,0.0,0.01
Mert Kömür,de Bundesliga,de GER,19.0,MF,Augsburg,0.28,0.14,0.16,0.2
Ismael Konate,it Serie A,ci CIV,18.0,"FW,MF",Empoli,0.0,0.78,0.15,0.03
Abdoul Koné,fr Ligue 1,fr FRA,19.0,DF,Reims,0.0,0.0,0.0,0.0
Amadou Koné,fr Ligue 1,ml MLI,19.0,MF,Reims,0.0,0.0,0.04,0.02
Kacper Koscierski,de Bundesliga,de GER,17.0,DF,Bochum,0.0,0.0,0.0,0.0
Konstantinos Koulierakis,de Bundesliga,gr GRE,20.0,DF,Wolfsburg,0.0,0.07,0.03,0.04
Emmanuel Koum Mbondo,fr Ligue 1,fr FRA,18.0,DF,Marseille,0.0,0.0,0.0,0.0
Mateusz Kowalski,it Serie A,pl POL,19.0,MF,Parma,0.0,0.0,0.69,0.0
Caleb Kporha,eng Premier League,eng ENG,18.0,DF,Crystal Palace,0.0,0.0,0.0,0.0
Frans Krätzig,de Bundesliga,de GER,21.0,"DF,MF",Heidenheim,0.07,0.15,0.05,0.13
Frans Krätzig,de Bundesliga,de GER,21.0,DF,Stuttgart,0.0,0.0,0.0,0.0
Sael Kumbedi,fr Ligue 1,fr FRA,19.0,DF,Lyon,0.0,0.0,0.03,0.03
Jonah Kusi-Asare,de Bundesliga,se SWE,17.0,FW,Bayern Munich,0.0,0.0,1.12,0.0
Rémy Labeau Lascary,fr Ligue 1,gp GLP,21.0,"FW,MF",Lens,0.28,0.14,0.36,0.15
Younes Lachaab,fr Ligue 1,fr FRA,19.0,"MF,FW",Lille,0.0,0.0,0.95,0.0
Yoel Lago,es La Liga,es ESP,20.0,DF,Celta Vigo,0.0,0.15,0.0,0.02
Mathis Lambourde,it Serie A,fr FRA,18.0,"FW,MF",Hellas Verona,1.01,0.0,0.15,0.09
Will Lankshear,eng Premier League,eng ENG,19.0,"FW,MF",Tottenham,0.0,0.0,0.0,0.0
Hugo Larsson,de Bundesliga,se SWE,20.0,MF,Eint Frankfurt,0.11,0.04,0.12,0.08
Roméo Lavia,eng Premier League,be BEL,20.0,MF,Chelsea,0.0,0.11,0.03,0.08
Stefan Lekovic,it Serie A,rs SRB,20.0,DF,Monza,0.0,0.0,0.03,0.0
Félix Lemaréchal,fr Ligue 1,fr FRA,20.0,"MF,FW",Strasbourg,0.2,0.15,0.18,0.15
Giovanni Leoni,it Serie A,it ITA,17.0,DF,Parma,0.08,0.0,0.01,0.0
Johann Lepenant,fr Ligue 1,fr FRA,21.0,MF,Nantes,0.09,0.04,0.06,0.04
Louis Leroux,fr Ligue 1,fr FRA,18.0,"MF,DF",Nantes,0.22,0.11,0.16,0.15
Rico Lewis,eng Premier League,eng ENG,19.0,"DF,MF",Manchester City,0.05,0.1,0.07,0.02
Myles Lewis-Skelly,eng Premier League,eng ENG,17.0,DF,Arsenal,0.07,0.0,0.01,0.03
Mattia Liberali,it Serie A,it ITA,17.0,MF,Milan,0.0,0.0,0.1,0.03
Pedro Lima,eng Premier League,br BRA,18.0,DF,Wolves,0.0,0.0,0.07,0.09
Valentino Livramento,eng Premier League,eng ENG,21.0,DF,Newcastle Utd,0.0,0.03,0.01,0.08
Javier Llabrés,es La Liga,es ESP,21.0,FW,Mallorca,0.0,0.0,0.08,0.14
Elysée Logbo,fr Ligue 1,fr FRA,20.0,FW,Le Havre,0.0,0.0,0.61,0.0
David López,es La Liga,es ESP,21.0,DF,Mallorca,0.0,0.0,0.0,0.0
Fermin López,es La Liga,es ESP,21.0,"MF,FW",Barcelona,0.43,0.36,0.41,0.28
Tom Louchet,fr Ligue 1,fr FRA,21.0,"DF,MF",Nice,0.12,0.0,0.09,0.14
Yannik Lührs,de Bundesliga,de GER,20.0,DF,Dortmund,0.0,0.0,0.0,0.03
Castello Lukeba,de Bundesliga,fr FRA,21.0,DF,RB Leipzig,0.0,0.0,0.02,0.01
Milos Lukovic,fr Ligue 1,rs SRB,18.0,"FW,MF",Strasbourg,0.0,0.0,0.0,0.0
Daniel Luna,es La Liga,co COL,21.0,MF,Mallorca,0.0,0.0,0.0,0.0
Mathias Løvik,it Serie A,no NOR,20.0,"DF,FW",Parma,0.0,0.0,0.09,0.08
Othmane Maamma,fr Ligue 1,ma MAR,18.0,"FW,MF",Montpellier,0.25,0.25,0.23,0.06
Lanroy Machine,fr Ligue 1,fr FRA,18.0,FW,Angers,0.0,0.0,0.62,0.0
Soungoutou Magassa,fr Ligue 1,fr FRA,20.0,MF,Monaco,0.0,0.09,0.04,0.08
Kobbie Mainoo,eng Premier League,eng ENG,19.0,MF,Manchester Utd,0.0,0.0,0.04,0.09
Hamidou Makalou,fr Ligue 1,ml MLI,18.0,"FW,MF",Brest,0.0,0.0,0.0,0.0
Jarzinho Malanga,de Bundesliga,de GER,18.0,DF,Stuttgart,0.0,0.0,0.0,0.0
Aaron Malouda,fr Ligue 1,fr FRA,18.0,FW,Lille,0.0,0.0,0.0,0.0
Johan Manzambi,de Bundesliga,ch SUI,18.0,"FW,MF",Freiburg,0.54,0.27,0.36,0.12
Alberto Manzoni,it Serie A,it ITA,19.0,MF,Atalanta,0.0,0.0,0.94,0.0
Alessandro Marcandalli,it Serie A,it ITA,21.0,DF,Genoa,0.0,0.0,0.0,0.0
Alessandro Marcandalli,it Serie A,it ITA,21.0,DF,Venezia,0.0,0.0,0.07,0.0
Luca Marianucci,it Serie A,it ITA,20.0,DF,Empoli,0.0,0.0,0.05,0.02
Arkaitz Mariezkurrena,es La Liga,es ESP,19.0,"FW,MF",Real Sociedad,0.75,0.0,0.36,0.06
Pablo Marín,es La Liga,es ESP,21.0,MF,Real Sociedad,0.07,0.15,0.1,0.07
Mario Maroto,es La Liga,es ESP,20.0,MF,Valladolid,0.0,1.41,0.02,0.09
Ange Martial Tia,fr Ligue 1,ml MLI,17.0,"MF,DF",Reims,0.0,0.0,0.68,0.01
Diego Martín,es La Liga,es ESP,20.0,FW,Las Palmas,0.0,0.0,0.08,0.0
Jon Martin,es La Liga,es ESP,18.0,DF,Real Sociedad,0.0,0.1,0.06,0.02
Mario Martín,es La Liga,es ESP,20.0,MF,Valladolid,0.0,0.05,0.09,0.07
Arnau Martinez,es La Liga,es ESP,21.0,"DF,MF",Girona,0.07,0.07,0.04,0.08
Ramón Martínez,es La Liga,es ESP,21.0,DF,Sevilla,0.34,0.0,0.12,0.02
Kevin Martins,it Serie A,it ITA,19.0,"MF,DF",Monza,0.0,0.49,0.0,0.19
Igor Matanovic,de Bundesliga,hr CRO,21.0,FW,Eint Frankfurt,0.29,0.0,0.33,0.01
Pape Matar Sarr,eng Premier League,sn SEN,21.0,MF,Tottenham,0.14,0.09,0.17,0.08
Rudy Matondo,fr Ligue 1,fr FRA,16.0,MF,Auxerre,0.0,0.0,0.0,0.0
Jean Mattéo Bahoya,de Bundesliga,fr FRA,19.0,"MF,FW",Eint Frankfurt,0.2,0.29,0.18,0.17
Alan Matturro,it Serie A,uy URU,19.0,DF,Genoa,0.0,0.0,0.02,0.02
Christian Mawissa,fr Ligue 1,fr FRA,19.0,DF,Monaco,0.0,0.0,0.0,0.0
Keke Maximilian Topp,de Bundesliga,de GER,20.0,"FW,MF",Werder Bremen,0.71,0.71,0.35,0.72
Senny Mayulu,fr Ligue 1,fr FRA,18.0,MF,Paris S-G,0.22,0.22,0.32,0.23
Andrea Mazza,it Serie A,it ITA,20.0,GK,Monza,0.0,0.0,0.0,0.0
Samuel Mbangula,it Serie A,be BEL,20.0,FW,Juventus,0.38,0.38,0.08,0.17
Ethan Mbappé,fr Ligue 1,fr FRA,17.0,"MF,FW",Lille,0.0,0.0,0.44,0.6
Ibrahim Mbaye,fr Ligue 1,fr FRA,16.0,"FW,MF",Paris S-G,0.26,0.26,0.48,0.3
James Mcatee,eng Premier League,eng ENG,21.0,"MF,FW",Manchester City,0.77,0.0,0.72,0.13
Jayden Meghoma,eng Premier League,eng ENG,18.0,DF,Brentford,0.0,0.0,0.0,0.0
Henrik Meister,fr Ligue 1,dk DEN,20.0,FW,Rennes,1.43,0.0,0.09,0.37
Mohamed Meité,fr Ligue 1,fr FRA,16.0,FW,Rennes,0.33,0.0,0.41,0.1
Mateo Mejía,es La Liga,es ESP,21.0,FW,Sevilla,0.0,0.0,0.0,0.0
Antoine Mendy,fr Ligue 1,sn SEN,20.0,DF,Nice,0.0,0.0,0.06,0.01
Nobel Mendy,es La Liga,fr FRA,19.0,DF,Betis,0.0,0.0,0.0,0.0
Rafik Messali,fr Ligue 1,fr FRA,21.0,DF,Toulouse,0.0,0.2,0.05,0.2
Shumaira Mheuka,eng Premier League,eng ENG,16.0,MF,Chelsea,0.0,0.0,5.06,0.0
Lucas Michal,fr Ligue 1,fr FRA,19.0,"FW,MF",Monaco,0.0,0.0,0.17,0.7
Florian Micheler,de Bundesliga,at AUT,19.0,MF,Hoffenheim,0.0,0.0,0.0,0.0
Igor Miladinović,fr Ligue 1,rs SRB,21.0,"FW,MF",Saint-Étienne,0.0,0.0,0.0,0.0
Lewis Miley,eng Premier League,eng ENG,18.0,MF,Newcastle Utd,0.29,0.0,0.16,0.01
Lucas Mincarelli,fr Ligue 1,fr FRA,20.0,DF,Montpellier,0.13,0.0,0.08,0.03
Kim Minsu,es La Liga,kr KOR,18.0,"MF,FW",Girona,0.0,0.0,0.0,0.0
Yankuba Minteh,eng Premier League,gm GAM,20.0,"FW,MF",Brighton,0.29,0.2,0.2,0.24
Fabio Miretti,it Serie A,it ITA,20.0,"MF,FW",Genoa,0.16,0.16,0.17,0.11
David Mokwa,de Bundesliga,fr FRA,20.0,"DF,FW",Hoffenheim,0.0,0.0,1.21,0.0
Alberto Moleiro,es La Liga,es ESP,20.0,"FW,MF",Las Palmas,0.2,0.03,0.19,0.11
Mikey Moore,eng Premier League,eng ENG,16.0,FW,Tottenham,0.0,0.25,0.05,0.08
Diego Moreira,fr Ligue 1,pt POR,19.0,"DF,MF",Strasbourg,0.07,0.25,0.07,0.25
Matias Moreno,it Serie A,ar ARG,20.0,DF,Fiorentina,0.0,0.0,0.0,0.01
Xavier Moreno,es La Liga,es ESP,19.0,FW,Valladolid,0.0,0.0,0.0,0.0
Ilaix Moriba,es La Liga,gn GUI,21.0,MF,Celta Vigo,0.04,0.04,0.07,0.06
Raúl Moro,es La Liga,es ESP,21.0,"MF,FW",Valladolid,0.15,0.19,0.16,0.22
Gabriel Moscardo,fr Ligue 1,br BRA,18.0,"MF,DF",Reims,0.0,0.0,0.22,0.0
Cristhian Mosquera,es La Liga,es ESP,20.0,DF,Valencia,0.03,0.0,0.01,0.0
Yael Mouanga,fr Ligue 1,fr FRA,19.0,DF,Montpellier,0.0,0.0,0.01,0.02
Youssoufa Moukoko,fr Ligue 1,de GER,19.0,"FW,MF",Nice,0.88,0.44,0.96,0.36
Divin Mubama,eng Premier League,eng ENG,19.0,FW,Manchester City,0.0,0.0,0.12,0.0
Ngal'Ayel Mukau,fr Ligue 1,cd COD,19.0,MF,Lille,0.0,0.08,0.06,0.05
Iker Muñoz,es La Liga,es ESP,21.0,MF,Osasuna,0.0,0.15,0.07,0.14
Víctor Muñoz,es La Liga,es ESP,21.0,"FW,DF",Real Madrid,0.0,0.0,1.23,0.0
Bob Murphy Omoregbe,it Serie A,it ITA,20.0,MF,Milan,0.0,0.0,0.0,0.0
Yunus Musah,it Serie A,us USA,21.0,"MF,FW",Milan,0.0,0.11,0.11,0.1
Jamal Musiala,de Bundesliga,de GER,21.0,MF,Bayern Munich,0.6,0.1,0.46,0.23
Kingstone Mutandwa,it Serie A,zm ZAM,21.0,"FW,MF",Cagliari,0.0,0.0,0.25,0.0
Junior Mwanga,fr Ligue 1,fr FRA,21.0,MF,Le Havre,0.09,0.19,0.12,0.1
Junior Mwanga,fr Ligue 1,fr FRA,21.0,MF,Strasbourg,0.0,0.0,0.0,0.01
Loïc N'Gatta,fr Ligue 1,fr FRA,20.0,DF,Auxerre,0.0,0.0,0.0,0.0
Djylian N'Guessan,fr Ligue 1,fr FRA,15.0,FW,Saint-Étienne,0.0,0.0,0.2,0.07
Bilal Nadir,fr Ligue 1,ma MAR,20.0,MF,Marseille,0.23,0.0,0.14,0.1
Mahamadou Nagida,fr Ligue 1,cm CMR,19.0,DF,Rennes,0.42,0.0,0.31,0.07
